text,emoji_id
Французький макарон такий смачний,4
робота жахлива,3
я засмучений,3
кинути м'яч,1
Гарний жарт,2
яка ваша улюблена гра в бейсбол,1
Я готувала м’ясо,4
припиніть возитися,3
Я хочу китайську їжу,4
Давайте підемо грати в бейсбол,1
ви не виконуєте цю вправу,3
вчора ми знову програли,3
Хороша робота,2
ха-ха-ха це було так смішно,2
У мене буде сирний пиріг,4
Чому тобі погано?,3
Хочу пожартувати,2
Я ніколи не говорив так за це,3
вечірка скасована,3
де куля,1
Я розчарований,3
ха-ха-ха ха-ха,2
вона сказала так,2
він отримав підвищення,2
"сім'я - це все, що у мене є",0
він може дуже добре,1
Я люблю до зірок і назад,0
ти любиш піцу,4
Ви цілком заслуговуєте на цей приз,2
я так сумую за тобою,0
Мені подобається твій піджак,2
вона дістала мені подарунок,0
ти станеш моєю валентинкаю,0
ви провалили середньострокову програму,3
Хто в ресторані,4
день закоханих наближається,0
"Чудово, так дивовижно",2
у вас є м'яч,1
він нічого не може зробити,3
йому подобається бейсбол,1
У нас сьогодні була така чудова вечеря,0
овочі здорові,4
він хороший друг,0
ніколи більше не розмовляй зі мною,3
Я сумую за нею,0
їжа - це життя,4
Мені весело,2
"Настільки погано, що ти не можеш піти з нами",3
ти хочеш приєднатися до мене на вечерю,4
Я люблю посміхатися,2
він зробив дивовижну роботу,2
Перестань кричати на мене,3
Я люблю робити перерви,0
Ви неймовірно розумні та талановиті,2
Я пишаюся вашими досягненнями,2
"Так сумно, що ти не приїдеш",3
смішно,2
Перестань говорити фігню,3
Браво за анонс отримав велику тягу,2
Ця спеціалізація чудова,2
Я чекав її дві години,3
"їй потрібно вічно, щоб підготуватися",3
Моя бабуся - це любов мого життя,0
Незабаром я святкуватиму,2
"мій код працює, але грейдер дав мені нуль",3
"Це наймиліша людина, яку я коли-небудь бачив",0
він сміється,2
Я обожнюю своїх собак,0
Я люблю тебе мамо,0
чудова робота,2
Як ти смієш це запитувати,3
цей хлопець був таким жартом,2
Я люблю індійську їжу,4
Ви вболіваєте за бейсбол сьогодні вдень,1
це погано,3
Ваша дурість не має меж,3
я люблю свого тата,0
Ти хочеш мене обійняти,0
ця дівчина була підлою,3
я схвильований,2
я скучаю за ним,0
Що з тобою,3
вони такі добрі та доброзичливі,0
Я так вражений вашою відданістю цьому проекту,2
ми це зробили,2
Я замовляю їжу,4
Звучить як веселий план ха-ха,2
Я дуже рада тобі,2
Сумую за тобою так сильно,0
я тебе люблю,0
цей жарт мене вбиває ха-ха,2
Ви не кваліфіковані на цю посаду,3
сумую за тобою моя люба,0
я хочу їсти,4
Я так рада бачити вас через стільки часу,2
він найкращий гравець,1
Яка весела мить,2
мій алгоритм працює погано,3
Перестань кричати на мене,3
її посмішка така чарівна,2
Це найгірший день у моєму житті,3
він красивий,0
його ніхто не любить,3
вона приваблива,0
Це було смішно хаха,2
він такий милий,0
ви добре склали іспит,2
"Я думаю, що опинюсь наодинці",3
Давайте їсти разом,4
"шкода, що вас тут не було",3
Я хочу піти пограти,1
ти невдаха,3
я вмираю,4
ти смокчеш,3
Вітаю,2
ви не змогли це вирішити,3
Я загубив свій гаманець,3
вона не відповіла на мій текст,3
Цей ловець відстій,1
До зустрічі в ресторані,4
Я відварив рис,4
я сказав так,2
цукерки - це життя,2
гра щойно закінчилася,1
М'яч дістався першій базовій людині,1
вітаю з прийняттям,2
Завдання задовге,3
Лол,2
Мене принизила моя сестра,3
я хочу їсти,4
лекції все ж чудові,2
ви не виконували домашнє завдання,3
Дитина чарівна,0
Браво,2
я сумую за тобою,0
Шукаю побачення,0
де їжа,4
ти жахлива,3
будь-які пропозиції щодо вечері,4
вона щаслива,2
Я завжди працюю,3
Це так смішно,2
ви отримали знижену версію,3
Я хочу вечеряти суші,4
вона багато посміхається,2
Дитинчата чикаго знову перемогли,1
Мене схвалили,2
печиво хороше,4
я ненавиджу його,3
Я йду на стадіон,1
Я дуже розчарований,3
Я пишаюся тобою назавжди,2
Ця дівчина возиться зі мною,3
Вітаємо з новою роботою,2
насолоджуйтесь відпочинком,2
йди геть,3
Я працював під час свого дня народження,3
Привітання для народження дитини,2
я голодний,4
Вона - моє найдорожче кохання,0
вона така мила,0
Я люблю собак,0
Я не снідав,3
у моєї собаки було лише кілька цуценят,0
ти мені дуже подобаєшся,0
йому довелося зробити домашній пробіг,1
Я на грі з бейсболом,1
ти серйозно ха-ха,2
Я люблю сміятися,2
Перестаньте жартувати ха-ха-ха,2
ви вдвох милі,0
Цей дурний грейдер не працює,3
"Те, що ви зробили, було приголомшливим",2
Моє життя таке нудне,3
він не відповів,3
дозволяє здійснювати,1
ти скрасиш мій день,2
Я піду танцювати,2
дозволяє обід якийсь день,4
танцювати зі мною,2
вона хуліган,3
вона грає в бейсбол,1
"Мені подобається, коли люди посміхаються",2
